,county_state
0,"Autauga, AL"
1,"Autauga, AL"
2,"Autauga, AL"
3,"Autauga, AL"
4,"Baldwin, AL"
5,"Baldwin, AL"
6,"Baldwin, AL"
7,"Baldwin, AL"
8,"Baldwin, AL"
9,"Baldwin, AL"
10,"Baldwin, AL"
11,"Baldwin, AL"
12,"Baldwin, AL"
13,"Baldwin, AL"
14,"Baldwin, AL"
15,"Baldwin, AL"
16,"Baldwin, AL"
17,"Baldwin, AL"
18,"Barbour, AL"
19,"Barbour, AL"
20,"Barbour, AL"
21,"Barbour, AL"
22,"Barbour, AL"
23,"Bibb, AL"
24,"Bibb, AL"
25,"Bibb, AL"
26,"Bibb, AL"
27,"Blount, AL"
28,"Blount, AL"
29,"Blount, AL"
30,"Blount, AL"
31,"Blount, AL"
32,"Blount, AL"
33,"Blount, AL"
34,"Bullock, AL"
35,"Bullock, AL"
36,"Butler, AL"
37,"Butler, AL"
38,"Calhoun, AL"
39,"Calhoun, AL"
40,"Calhoun, AL"
41,"Calhoun, AL"
42,"Calhoun, AL"
43,"Calhoun, AL"
44,"Calhoun, AL"
45,"Calhoun, AL"
46,"Calhoun, AL"
47,"Calhoun, AL"
48,"Chambers, AL"
49,"Chambers, AL"
50,"Chambers, AL"
51,"Chambers, AL"
52,"Chambers, AL"
53,"Cherokee, AL"
54,"Cherokee, AL"
55,"Cherokee, AL"
56,"Chilton, AL"
57,"Chilton, AL"
58,"Chilton, AL"
59,"Chilton, AL"
60,"Chilton, AL"
61,"Choctaw, AL"
62,"Choctaw, AL"
63,"Choctaw, AL"
64,"Clarke, AL"
65,"Clarke, AL"
66,"Clarke, AL"
67,"Clarke, AL"
68,"Clay, AL"
69,"Clay, AL"
70,"Clay, AL"
71,"Cleburne, AL"
72,"Cleburne, AL"
73,"Cleburne, AL"
74,"Cleburne, AL"
75,"Coffee, AL"
76,"Coffee, AL"
77,"Coffee, AL"
78,"Coffee, AL"
79,"Coffee, AL"
80,"Colbert, AL"
81,"Colbert, AL"
82,"Colbert, AL"
83,"Colbert, AL"
84,"Colbert, AL"
85,"Colbert, AL"
86,"Conecuh, AL"
87,"Conecuh, AL"
88,"Coosa, AL"
89,"Coosa, AL"
90,"Coosa, AL"
91,"Covington, AL"
92,"Covington, AL"
93,"Covington, AL"
94,"Covington, AL"
95,"Crenshaw, AL"
96,"Cullman, AL"
97,"Cullman, AL"
98,"Cullman, AL"
99,"Cullman, AL"
100,"Cullman, AL"
101,"Cullman, AL"
102,"Cullman, AL"
103,"Dale, AL"
104,"Dale, AL"
105,"Dale, AL"
106,"Dale, AL"
107,"Dallas, AL"
108,"Dallas, AL"
109,"Dekalb, AL"
110,"Dekalb, AL"
111,"Dekalb, AL"
112,"Dekalb, AL"
